Customer_ID,Recency,Frequency,MonetaryValue,T-Age,R,F,M,RFM_Segment,RFM_Score,General_Segment,Transaction,Revenue,avg_order_value,profit_margin,CLV,cust_lifetime_value
1000000,7,3,389.1,522,4,2,2,422,8.0,Silver,3,389.1,129.70000000000002,0.15000000000000002,3568.4814753647124,535.2722213047069
1000001,62,2,488.79999999999995,316,2,1,2,212,5.0,Bronze,2,488.79999999999995,244.39999999999998,0.1,6724.262703000274,672.4262703000275
1000002,19,3,437.3,42,4,2,2,422,8.0,Silver,3,437.3,145.76666666666668,0.15000000000000002,4010.529296265712,601.579394439857
1000003,5,6,1264.5000000000005,256,4,4,4,444,12.0,Gold,6,1264.5000000000005,210.75000000000009,0.30000000000000004,5798.438480594552,1739.531544178366
1000005,90,1,100.2,0,2,1,1,211,4.0,Bronze,1,100.2,100.2,0.05,2756.8376548307183,137.84188274153593
1000006,62,5,637.4,315,2,3,3,233,8.0,Silver,5,637.4,127.47999999999999,0.25,3507.4018387007973,876.8504596751993
1000007,81,3,268.40000000000003,114,2,2,1,221,5.0,Bronze,3,268.40000000000003,89.46666666666668,0.15000000000000002,2461.527699788972,369.2291549683458
1000008,37,2,523.7,184,3,1,2,312,6.0,Silver,2,523.7,261.85,0.1,7204.370657858519,720.4370657858519
1000009,52,3,1302.5,246,2,2,4,224,8.0,Silver,3,1302.5,434.1666666666667,0.15000000000000002,11945.379392604826,1791.8069088907241
1000010,3,5,853.0,418,4,3,3,433,10.0,Gold,5,853.0,170.6,0.25,4693.77748417286,1173.444371043215
1000011,44,6,878.2,421,3,4,3,343,10.0,Gold,6,878.2,146.36666666666667,0.30000000000000004,4027.0373061748783,1208.1111918524637
1000012,120,3,328.8,245,1,2,2,122,5.0,Bronze,3,328.8,109.60000000000001,0.15000000000000002,3015.463143407652,452.31947151114787
1000013,38,4,607.2,381,3,3,3,333,9.0,Silver,4,607.2,151.8,0.2,4176.526507018993,835.3053014037986
1000016,40,5,967.1,358,3,3,4,334,10.0,Gold,5,967.1,193.42000000000002,0.25,5321.632127718139,1330.4080319295347
1000017,36,3,651.8000000000002,259,3,2,3,323,8.0,Silver,3,651.8000000000002,217.26666666666674,0.15000000000000002,5977.733810441327,896.6600715661991
1000018,34,8,1876.0,409,3,4,4,344,11.0,Gold,8,1876.0,234.5,0.4,6451.880539499036,2580.7522157996145
1000019,138,1,23.0,0,1,1,1,111,3.0,Bronze,1,23.0,23.0,0.05,632.8070465180291,31.640352325901457
1000021,20,4,1446.5,472,4,3,4,434,11.0,Gold,4,1446.5,361.625,0.2,9949.515139003577,1989.9030278007156
1000022,226,1,39.7,0,1,1,1,111,3.0,Bronze,1,39.7,39.7,0.05,1092.2799889898154,54.61399944949077
1000023,227,1,207.2,0,1,1,1,111,3.0,Bronze,1,207.2,207.2,0.05,5700.766088631984,285.0383044315992
1000024,12,4,868.5,518,4,3,3,433,10.0,Gold,4,868.5,217.125,0.2,5973.8360858794385,1194.7672171758877
1000025,38,6,1373.2000000000003,395,3,4,4,344,11.0,Gold,6,1373.2000000000003,228.8666666666667,0.30000000000000004,6296.888668685201,1889.0666006055606
1000026,13,1,212.0,0,4,1,1,411,6.0,Silver,1,212.0,212.0,0.05,5832.830167905312,291.6415083952656
1000027,134,3,506.70000000000005,121,1,2,2,122,5.0,Bronze,3,506.70000000000005,168.9,0.15000000000000002,4647.004789430222,697.0507184145334
1000028,41,5,721.1,448,3,3,3,333,9.0,Silver,5,721.1,144.22,0.25,3967.9753151665286,991.9938287916322
1000029,23,8,1802.1,419,4,4,4,444,12.0,Gold,8,1802.1,225.2625,0.4,6197.725970272501,2479.0903881090007
1000030,7,2,336.0,13,4,1,2,412,7.0,Silver,2,336.0,168.0,0.1,4622.242774566474,462.22427745664737
1000031,17,6,1337.4,403,4,4,4,444,12.0,Gold,6,1337.4,222.9,0.30000000000000004,6132.72568125516,1839.8177043765484
1000032,25,6,654.6,404,4,4,3,443,11.0,Gold,6,654.6,109.10000000000001,0.30000000000000004,3001.706468483347,900.5119405450043
1000033,5,3,472.2000000000001,101,4,2,2,422,8.0,Silver,3,472.2000000000001,157.40000000000003,0.15000000000000002,4330.601266171208,649.5901899256813
1000034,58,2,950.2,341,2,1,3,213,6.0,Silver,2,950.2,475.1,0.1,13071.592513074593,1307.1592513074593
1000035,177,5,815.0,243,1,3,3,133,7.0,Silver,5,815.0,163.0,0.25,4484.676025323423,1121.1690063308558
1000036,106,1,0.0,0,1,1,1,111,3.0,Bronze,1,0.0,0.0,0.05,0.0,0.0
1000037,176,3,881.8000000000002,84,1,2,3,123,6.0,Silver,3,881.8000000000002,293.9333333333334,0.15000000000000002,8087.0906321680895,1213.0635948252136
1000038,76,5,603.7,355,2,3,3,233,8.0,Silver,5,603.7,120.74000000000001,0.25,3321.961860721167,830.4904651802917
1000039,19,5,1312.4,228,4,3,4,434,11.0,Gold,5,1312.4,262.48,0.25,7221.704068263143,1805.4260170657858
1000040,61,3,363.0,188,2,2,2,222,6.0,Silver,3,363.0,121.0,0.15000000000000002,3329.115331681805,499.3672997522708
1000041,4,5,803.2,435,4,3,3,433,10.0,Gold,5,803.2,160.64000000000001,0.25,4419.744519680704,1104.936129920176
1000042,96,2,217.6,115,1,1,1,111,3.0,Bronze,2,217.6,108.8,0.1,2993.4524635287635,299.34524635287636
1000043,226,1,0.0,0,1,1,1,111,3.0,Bronze,1,0.0,0.0,0.05,0.0,0.0
1000044,419,1,103.5,0,1,1,1,111,3.0,Bronze,1,103.5,103.5,0.05,2847.631709331131,142.38158546655654
1000045,62,2,304.9,374,2,1,1,211,4.0,Bronze,2,304.9,152.45,0.1,4194.410184420588,419.4410184420588
1000046,63,3,622.1999999999999,113,2,2,3,223,7.0,Silver,3,622.1999999999999,207.39999999999998,0.15000000000000002,5706.268758601705,855.9403137902558
1000047,80,3,441.1,365,2,2,2,222,6.0,Silver,3,441.1,147.03333333333333,0.15000000000000002,4045.3795394072845,606.8069309110928
1000048,359,2,220.0,93,1,1,1,111,3.0,Bronze,2,220.0,110.0,0.1,3026.4684833470956,302.64684833470955
1000049,254,2,841.4000000000001,7,1,1,3,113,5.0,Bronze,2,841.4000000000001,420.70000000000005,0.1,11574.866281310211,1157.4866281310212
1000050,37,7,1670.9,247,3,4,4,344,11.0,Gold,7,1670.9,238.70000000000002,0.35000000000000003,6567.436608863199,2298.60281310212
1000051,51,3,401.79999999999995,347,2,2,2,222,6.0,Silver,3,401.79999999999995,133.9333333333333,0.15000000000000002,3684.9546563904933,552.743198458574
1000052,422,1,337.5,0,1,1,2,112,4.0,Bronze,1,337.5,337.5,0.05,9285.755573905863,464.2877786952931
1000053,32,5,794.7,407,3,3,3,333,9.0,Silver,5,794.7,158.94,0.25,4372.971824938067,1093.2429562345167
1000054,85,5,637.6,322,2,3,3,233,8.0,Silver,5,637.6,127.52000000000001,0.25,3508.5023726947425,877.1255931736856
1000055,48,2,82.2,42,3,1,1,311,5.0,Bronze,2,82.2,41.1,0.1,1130.7986787778696,113.07986787778697
1000056,27,2,363.0,31,3,1,2,312,6.0,Silver,2,363.0,181.5,0.1,4993.672997522708,499.3672997522708
1000057,26,4,437.59999999999997,267,3,3,2,332,8.0,Silver,4,437.59999999999997,109.39999999999999,0.2,3009.9604734379295,601.9920946875859
1000058,91,2,264.9,37,1,1,1,111,3.0,Bronze,2,264.9,132.45,0.1,3644.1431874483887,364.4143187448389
1000059,22,2,275.6,321,4,1,1,411,6.0,Silver,2,275.6,137.8,0.1,3791.339609138453,379.1339609138453
1000060,106,6,1110.5,340,1,4,4,144,9.0,Silver,6,1110.5,185.08333333333334,0.30000000000000004,5092.262501146894,1527.6787503440682
1000061,61,4,492.8,335,2,3,2,232,7.0,Silver,4,492.8,123.2,0.2,3389.6447013487473,677.9289402697495
1000062,25,4,959.8000000000001,399,4,3,4,434,11.0,Gold,4,959.8000000000001,239.95000000000002,0.2,6601.828296173961,1320.3656592347922
1000063,77,7,1257.4,369,2,4,4,244,10.0,Gold,7,1257.4,179.62857142857143,0.35000000000000003,4942.18372852031,1729.7643049821088
1000064,21,3,75.0,256,4,2,1,421,7.0,Silver,3,75.0,25.0,0.15000000000000002,687.8337462152491,103.17506193228738
1000065,363,1,266.0,0,1,1,1,111,3.0,Bronze,1,266.0,266.0,0.05,7318.551059730249,365.92755298651247
1000066,59,5,1284.4,315,2,3,4,234,9.0,Silver,5,1284.4,256.88,0.25,7067.629309110927,1766.9073272777318
1000067,6,3,586.8,275,4,2,2,422,8.0,Silver,3,586.8,195.6,0.15000000000000002,5381.611230388108,807.2416845582163
1000068,8,7,1954.3,407,4,4,4,444,12.0,Gold,7,1954.3,279.18571428571425,0.35000000000000003,7681.33422987692,2688.4669804569226
1000070,50,5,1285.8000000000002,341,3,3,4,334,10.0,Gold,5,1285.8000000000002,257.16,0.25,7075.333047068539,1768.8332617671347
1000071,140,2,139.6,272,1,1,1,111,3.0,Bronze,2,139.6,69.8,0.1,1920.431819432975,192.04318194329753
1000072,34,10,1657.2,440,3,4,4,344,11.0,Gold,10,1657.2,165.72,0.5,4559.512336911643,2279.7561684558214
1000073,16,6,1196.3,427,4,4,4,444,12.0,Gold,6,1196.3,199.38333333333333,0.30000000000000004,5485.7034039820155,1645.7110211946049
1000074,51,9,1304.7,393,2,4,4,244,10.0,Gold,9,1304.7,144.96666666666667,0.45,3988.518616386824,1794.8333773740708
1000076,45,7,939.5,401,3,4,3,343,10.0,Gold,7,939.5,134.21428571428572,0.35000000000000003,3692.684597538437,1292.439609138453
1000077,63,3,658.5,161,2,2,3,223,7.0,Silver,3,658.5,219.5,0.15000000000000002,6039.180291769886,905.877043765483
1000078,24,5,1621.9,248,4,3,4,434,11.0,Gold,5,1621.9,324.38,0.25,8924.7804238921,2231.195105973025
1000079,83,4,408.0,156,2,3,2,232,7.0,Silver,4,408.0,102.0,0.2,2806.361684558216,561.2723369116433
1000080,447,1,90.0,0,1,1,1,111,3.0,Bronze,1,90.0,90.0,0.05,2476.2014863748964,123.81007431874482
1000081,8,3,1076.5,65,4,2,4,424,10.0,Gold,3,1076.5,358.8333333333333,0.15000000000000002,9872.707037342874,1480.9060556014313
1000082,12,2,0.0,80,4,1,1,411,6.0,Silver,2,0.0,0.0,0.1,0.0,0.0
1000083,8,2,334.40000000000003,130,4,1,2,412,7.0,Silver,2,334.40000000000003,167.20000000000002,0.1,4600.232094687585,460.0232094687585
